What was the name of the ship that Christopher Columbus sailed on his first voyage to the Americas?,Santa Maria,Nina,Pinta,Mayflower,0
Who was the first President of the United States?,John Adams,George Washington,Benjamin Franklin,Thomas Jefferson,1
In which year did World War I end?,1917,1918,1919,1920,1
What was the name of the Egyptian pharaoh who commissioned the Great Pyramid of Giza?,Ramses II,Tutankhamun,Khufu,Hatshepsut,2
Who wrote the famous play Romeo and Juliet?,William Shakespeare,Samuel Beckett,Oscar Wilde,George Bernard Shaw,0
Who painted the famous mural on the ceiling of the Sistine Chapel in the Vatican?,Michelangelo,Leonardo da Vinci,Raphael,Donatello,0
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Albert Einstein,Isaac Newton,0
In which year did the American Civil War end?,1863,1864,1865,1866,2
Who was the first man to circumnavigate the globe?,Ferdinand Magellan,Christopher Columbus,Vasco da Gama,Marco Polo,0
In which year did World War II end?,1943,1944,1945,1946,2
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,Theresa May,Angela Merkel,Hillary Clinton,0
Who was the first U.S. President to be impeached?,Andrew Johnson,Richard Nixon,Bill Clinton,Donald Trump,0
Who was the leader of the Soviet Union during the Cold War?,Vladimir Lenin,Joseph Stalin,Nikita Khrushchev,Mikhail Gorbachev,2
In which city did the Renaissance begin?,Florence,Rome,Venice,Milan,0
Who was the first Emperor of Rome?,Julius Caesar,Augustus,Caligula,Nero,1
Who painted the famous portrait of Mona Lisa?,Pablo Picasso,Rembrandt,Vincent van Gogh,Leonardo da Vinci,3
Who was the first African-American President of the United States?,Barack Obama,Jesse Jackson,Al Sharpton,Colin Powell,0
What was the name of the ship on which Charles Darwin sailed on his famous voyage to the Galapagos Islands?,Beagle,Discovery,Challenger,Endeavour,0
Who wrote the famous novel 1984?,George Orwell,Aldous Huxley,Ray Bradbury,J.D. Salinger,0
What was the name of the famous ancient Roman road that connected Rome to its empire?,Appian Way,Silk Road,Royal Road,Oregon Trail,0
